Sample_ID,Cover_ID,Substrate_Name,Calculated_S1,Calculated_S2,Calculated_S3,Calculated_S4,New_Average
10307597,39857,Hard Coral,22.5,45,37.5,17.5,30.625
10307598,39858,Hard Coral,42.5,60,70,75,61.875
10307598,54216,Fleshy Seaweed,0,0,0,0,0
10307599,39859,Hard Coral,47.5,35,27.5,22.5,33.125
10307599,54217,Fleshy Seaweed,0,0,0,0,0
10307600,39860,Hard Coral,70,47.5,30,47.5,48.75
10307600,54218,Nutrient Indicator Algae,0,0,0,0,0
10307601,39861,Hard Coral,97.5,67.5,30,10,51.25
10307601,54219,Nutrient Indicator Algae,0,0,0,0,0
10307602,39862,Hard Coral,75,87.5,82.5,87.5,83.125
10307602,54220,Nutrient Indicator Algae,0,0,0,0,0
10307603,39863,Hard Coral,7.5,40,40,25,28.125
10307603,54221,Nutrient Indicator Algae,0,0,0,0,0
10307604,39864,Hard Coral,22.5,27.5,25,20,23.75
10307604,54222,Nutrient Indicator Algae,0,0,0,0,0
10307605,39865,Hard Coral,45,40,45,72.5,50.625
10307605,54223,Nutrient Indicator Algae,0,0,0,0,0
10307606,39866,Hard Coral,80,45,45,55,56.25
10307606,54224,Nutrient Indicator Algae,0,0,0,5,1.25
10307607,39867,Hard Coral,70,67.5,40,35,53.125
10307607,54225,Nutrient Indicator Algae,0,0,0,0,0
10307608,39868,Hard Coral,67.5,37.5,30,40,43.75
10307608,54226,Nutrient Indicator Algae,0,0,0,0,0
10307609,39869,Hard Coral,67.5,55,32.5,75,57.5
10307609,54227,Nutrient Indicator Algae,0,0,0,0,0
10307610,39870,Hard Coral,42.5,70,62.5,52.5,56.875
10307610,54228,Nutrient Indicator Algae,0,0,0,0,0
10307611,39871,Hard Coral,12.5,35,47.5,47.5,35.625
10307611,54229,Nutrient Indicator Algae,0,0,0,0,0
10307612,39872,Hard Coral,77.5,70,55,80,70.625
10307612,54230,Nutrient Indicator Algae,0,0,0,0,0
10307613,39873,Hard Coral,42.5,45,42.5,20,37.5
10307613,54231,Nutrient Indicator Algae,0,0,0,0,0
10307614,39874,Hard Coral,50,62.5,47.5,35,48.75
10307614,54232,Nutrient Indicator Algae,0,0,0,0,0
10307615,39875,Hard Coral,32.5,47.5,45,55,45
10307615,54233,Nutrient Indicator Algae,0,0,0,0,0
10307616,39876,Hard Coral,32.5,42.5,40,35,37.5
10307616,54234,Nutrient Indicator Algae,0,0,0,0,0
10307617,39877,Hard Coral,12.5,47.5,55,47.5,40.625
10307617,54235,Nutrient Indicator Algae,0,0,0,0,0
10307618,39878,Hard Coral,15,47.5,35,50,36.875
10307618,54236,Nutrient Indicator Algae,0,0,0,0,0
10307619,39879,Hard Coral,90,55,82.5,50,69.375
10307619,54237,Nutrient Indicator Algae,0,0,0,0,0
10307620,39880,Hard Coral,35,57.5,57.5,52.5,50.625
10307620,54238,Nutrient Indicator Algae,30,0,0,0,7.5
10307621,39884,Hard Coral,35,32.5,25,2.5,23.75
10307621,54242,Nutrient Indicator Algae,0,0,0,22.5,5.625
10307622,39881,Hard Coral,27.5,20,10,2.5,15
10307622,54239,Nutrient Indicator Algae,47.5,35,37.5,17.5,34.375
10307623,39883,Hard Coral,35,60,40,45,45
10307623,54240,Nutrient Indicator Algae,10,5,15,22.5,13.125
10307624,39882,Hard Coral,57.5,57.5,50,60,56.25
10307624,54241,Nutrient Indicator Algae,0,15,17.5,12.5,11.25
10307625,39894,Hard Coral,5,55,62.5,42.5,41.25
10307625,54252,Nutrient Indicator Algae,2.5,0,2.5,2.5,1.875
10307626,39893,Hard Coral,65,60,67.5,47.5,60
10307626,54251,Nutrient Indicator Algae,20,7.5,10,0,9.375
10307627,39892,Hard Coral,60,57.5,62.5,65,61.25
10307627,54250,Nutrient Indicator Algae,12.5,12.5,12.5,12.5,12.5
10307628,39887,Hard Coral,32.5,60,60,52.5,51.25
10307628,54245,Nutrient Indicator Algae,0,0,0,0,0
10307629,39891,Hard Coral,60,52.5,50,57.5,55
10307629,54248,Nutrient Indicator Algae,0,10,5,5,5
10307630,39888,Hard Coral,65,77.5,67.5,75,71.25
10307630,54247,Nutrient Indicator Algae,12.5,5,2.5,5,6.25
10307631,39889,Hard Coral,95,97.5,80,85,89.375
10307631,54249,Nutrient Indicator Algae,0,0,0,0,0
10307632,39890,Hard Coral,70,75,70,85,75
10307632,54246,Nutrient Indicator Algae,2.5,2.5,7.5,2.5,3.75
10307633,39886,Hard Coral,12.5,25,50,2.5,22.5
10307633,54244,Nutrient Indicator Algae,0,0,7.5,15,5.625
10307634,39885,Hard Coral,70,72.5,60,87.5,72.5
10307634,54243,Nutrient Indicator Algae,10,7.5,10,5,8.125
10307635,39895,Hard Coral,82.5,32.5,30,30,43.75
10307635,54253,Nutrient Indicator Algae,0,0,0,0,0
10307636,39896,Hard Coral,87.5,55,72.5,52.5,66.875
10307636,54254,Nutrient Indicator Algae,0,0,0,0,0
10307637,39902,Hard Coral,15,2.5,7.5,10,8.75
10307637,54260,Nutrient Indicator Algae,40,10,50,32.5,33.125
10307638,39901,Hard Coral,72.5,85,70,92.5,80
10307638,54259,Nutrient Indicator Algae,2.5,0,0,0,0.625
10307639,39900,Hard Coral,70,60,22.5,12.5,41.25
10307639,54258,Nutrient Indicator Algae,0,0,0,0,0
10307640,39898,Hard Coral,65,67.5,62.5,62.5,64.375
10307640,54257,Nutrient Indicator Algae,0,0,0,2.5,0.625
10307641,39899,Hard Coral,7.5,30,7.5,22.5,16.875
10307641,54256,Nutrient Indicator Algae,0,0,0,0,0
10307642,39897,Hard Coral,7.5,7.5,27.5,17.5,15
10307642,54255,Nutrient Indicator Algae,7.5,0,0,12.5,5
10307643,39913,Hard Coral,50,50,85,65,62.5
10307643,54272,Nutrient Indicator Algae,0,0,0,0,0
10307644,39915,Hard Coral,80,77.5,52.5,52.5,65.625
10307644,54270,Nutrient Indicator Algae,0,0,0,0,0
10307645,39904,Hard Coral,72.5,40,72.5,47.5,58.125
10307645,54262,Nutrient Indicator Algae,5,20,0,0,6.25
10307646,39906,Hard Coral,37.5,42.5,62.5,55,49.375
10307646,54264,Nutrient Indicator Algae,0,0,0,0,0
10307647,39908,Hard Coral,45,27.5,35,30,34.375
10307647,54266,Nutrient Indicator Algae,0,0,0,0,0
10307648,39917,Hard Coral,60,62.5,75,45,60.625
10307648,54275,Nutrient Indicator Algae,0,0,0,2.5,0.625
10307649,39903,Hard Coral,70,75,67.5,50,65.625
10307649,54261,Nutrient Indicator Algae,0,0,0,0,0
10307650,39905,Hard Coral,30,57.5,60,52.5,50
10307650,54263,Nutrient Indicator Algae,15,10,10,2.5,9.375
10307651,39910,Hard Coral,50,67.5,47.5,50,53.75
10307651,54268,Nutrient Indicator Algae,5,10,0,0,3.75
10307652,39912,Hard Coral,45,57.5,55,47.5,51.25
10307652,54271,Nutrient Indicator Algae,7.5,5,0,0,3.125
10307653,39907,Hard Coral,42.5,45,42.5,52.5,45.625
10307653,54265,Nutrient Indicator Algae,7.5,10,0,2.5,5
10307654,39909,Hard Coral,37.5,50,57.5,45,47.5
10307654,54267,Nutrient Indicator Algae,12.5,25,7.5,5,12.5
10307655,39916,Hard Coral,45,50,52.5,32.5,45
10307655,54274,Nutrient Indicator Algae,2.5,7.5,2.5,2.5,3.75
10307656,39911,Hard Coral,35,25,40,32.5,33.125
10307656,54269,Nutrient Indicator Algae,0,0,35,5,10
10307657,39914,Hard Coral,70,80,67.5,52.5,67.5
10307657,54273,Nutrient Indicator Algae,0,0,0,2.5,0.625
10307658,39922,Hard Coral,22.5,17.5,47.5,40,31.875
10307658,54288,Nutrient Indicator Algae,0,2.5,0,0,0.625
10307659,39919,Hard Coral,32.5,12.5,42.5,30,29.375
10307659,54277,Nutrient Indicator Algae,0,0,7.5,5,3.125
10307660,39920,Hard Coral,37.5,42.5,32.5,10,30.625
10307660,54278,Nutrient Indicator Algae,0,0,0,0,0
10307661,39926,Hard Coral,30,25,37.5,2.5,23.75
10307661,54281,Nutrient Indicator Algae,0,0,0,0,0
10307662,39923,Hard Coral,35,30,45,25,33.75
10307662,54282,Nutrient Indicator Algae,0,0,0,0,0
10307663,39927,Hard Coral,22.5,35,62.5,40,40
10307663,54284,Nutrient Indicator Algae,0,0,0,0,0
10307664,39931,Hard Coral,17.5,25,30,52.5,31.25
10307664,54289,Nutrient Indicator Algae,2.5,0,0,0,0.625
10307665,39930,Hard Coral,47.5,37.5,32.5,35,38.125
10307665,54287,Nutrient Indicator Algae,0,2.5,0,0,0.625
10307666,39918,Hard Coral,17.5,27.5,22.5,25,23.125
10307666,54276,Nutrient Indicator Algae,0,0,0,0,0
10307667,39929,Hard Coral,47.5,20,45,22.5,33.75
10307667,54286,Nutrient Indicator Algae,10,7.5,10,22.5,12.5
10307668,39921,Hard Coral,17.5,30,17.5,25,22.5
10307668,54280,Nutrient Indicator Algae,0,0,0,25,6.25
10307669,39924,Hard Coral,30,10,22.5,10,18.125
10307669,54279,Nutrient Indicator Algae,12.5,17.5,12.5,27.5,17.5
10307670,39925,Hard Coral,15,12.5,32.5,30,22.5
10307670,54283,Nutrient Indicator Algae,12.5,5,15,7.5,10
10307671,39928,Hard Coral,47.5,37.5,32.5,35,38.125
10307671,54285,Nutrient Indicator Algae,0,2.5,0,0,0.625
10307672,39932,Hard Coral,17.5,32.5,40,25,28.75
10307672,54290,Nutrient Indicator Algae,2.5,5,2.5,0,2.5
10307673,39933,Hard Coral,7.5,42.5,40,30,30
10307673,54291,Nutrient Indicator Algae,0,0,0,0,0
10307674,39934,Hard Coral,32.5,42.5,42.5,37.5,38.75
10307674,54292,Nutrient Indicator Algae,0,0,0,2.5,0.625
10307675,39935,Hard Coral,35,27.5,55,35,38.125
10307675,54293,Nutrient Indicator Algae,0,0,0,2.5,0.625
10307676,39936,Hard Coral,12.5,30,37.5,37.5,29.375
10307676,54294,Nutrient Indicator Algae,2.5,7.5,5,0,3.75
10307677,39937,Hard Coral,27.5,22.5,17.5,12.5,20
10307677,54295,Nutrient Indicator Algae,0,0,0,0,0
10307678,39938,Hard Coral,10,5,5,2.5,5.625
10307678,54296,Nutrient Indicator Algae,45,40,42.5,60,46.875
10307679,39945,Hard Coral,50,37.5,57.5,55,50
10307679,54303,Nutrient Indicator Algae,0,0,0,2.5,0.625
10307680,39943,Hard Coral,75,55,70,47.5,61.875
10307680,54301,Nutrient Indicator Algae,0,10,2.5,0,3.125
10307681,39942,Hard Coral,70,52.5,82.5,72.5,69.375
10307681,54300,Nutrient Indicator Algae,0,0,0,0,0
10307682,39941,Hard Coral,65,75,92.5,85,79.375
10307682,54299,Nutrient Indicator Algae,0,0,0,0,0
10307683,39939,Hard Coral,65,40,62.5,87.5,63.75
10307683,54297,Nutrient Indicator Algae,2.5,5,0,0,1.875
10307684,39944,Hard Coral,57.5,87.5,65,70,70
10307684,54302,Nutrient Indicator Algae,0,0,0,0,0
10307685,39940,Hard Coral,80,65,55,47.5,61.875
10307685,54298,Nutrient Indicator Algae,0,2.5,0,0,0.625
10307686,39951,Hard Coral,17.5,32.5,62.5,50,40.625
10307686,54305,Nutrient Indicator Algae,57.5,37.5,17.5,22.5,33.75
10307687,39950,Hard Coral,70,75,70,90,76.25
10307687,54309,Nutrient Indicator Algae,2.5,0,2.5,0,1.25
10307688,39946,Hard Coral,55,57.5,47.5,32.5,48.125
10307688,54304,Nutrient Indicator Algae,25,10,22.5,25,20.625
10307689,39948,Hard Coral,77.5,55,72.5,87.5,73.125
10307689,54306,Nutrient Indicator Algae,0,0,5,0,1.25
10307690,39949,Hard Coral,67.5,72.5,85,80,76.25
10307690,54311,Nutrient Indicator Algae,15,10,2.5,7.5,8.75
10307691,39952,Hard Coral,72.5,70,60,75,69.375
10307691,54310,Nutrient Indicator Algae,15,5,17.5,7.5,11.25
10307692,39723,Hard Coral,30,45,35,37.5,36.875
10307692,54082,Fleshy Seaweed,0,0,0,0,0
10307693,39724,Hard Coral,5,15,7.5,17.5,11.25
10307693,54083,Fleshy Seaweed,0,0,0,0,0
10307694,39725,Hard Coral,47.5,35,30,35,36.875
10307694,54084,Fleshy Seaweed,0,0,0,0,0
10307695,39726,Hard Coral,20,2.5,2.5,30,13.75
10307695,54085,Nutrient Indicator Algae,0,0,0,0,0
10307696,39727,Hard Coral,47.5,15,12.5,17.5,23.125
10307696,54086,Nutrient Indicator Algae,0,0,0,0,0
10307697,39728,Hard Coral,25,17.5,7.5,2.5,13.125
10307697,54087,Fleshy Seaweed,0,0,0,0,0
10307698,39729,Hard Coral,25,57.5,80,85,61.875
10307698,54088,Fleshy Seaweed,0,0,0,0,0
10307699,39730,Hard Coral,55,37.5,60,52.5,51.25
10307699,54089,Fleshy Seaweed,0,0,0,0,0
10307700,39731,Hard Coral,27.5,25,27.5,27.5,26.875
10307700,54090,Fleshy Seaweed,0,0,0,0,0
10307701,39733,Hard Coral,0,0,7.5,10,4.375
10307701,54092,Fleshy Seaweed,22.5,15,25,22.5,21.25
10307702,39732,Hard Coral,0,2.5,2.5,2.5,1.875
10307702,54091,Fleshy Seaweed,35,52.5,37.5,37.5,40.625
10307703,39734,Hard Coral,7.5,27.5,20,12.5,16.875
10307703,54093,Fleshy Seaweed,40,20,0,0,15
10307704,39735,Hard Coral,0,5,5,15,6.25
10307704,54094,Fleshy Seaweed,10,15,25,10,15
10307705,39736,Hard Coral,2.5,10,7.5,10,7.5
10307705,54095,Fleshy Seaweed,0,5,0,0,1.25
10307706,39738,Hard Coral,7.5,25,15,17.5,16.25
10307706,54097,Fleshy Seaweed,0,2.5,5,5,3.125
10307707,39737,Hard Coral,25,27.5,22.5,10,21.25
10307707,54096,Fleshy Seaweed,0,0,0,0,0
10307708,39739,Hard Coral,2.5,12.5,25,5,11.25
10307708,54098,Fleshy Seaweed,0,0,0,0,0
10307709,39741,Hard Coral,57.5,40,42.5,52.5,48.125
10307709,54100,Fleshy Seaweed,0,0,0,0,0
10307710,39740,Hard Coral,42.5,35,42.5,62.5,45.625
10307710,54099,Fleshy Seaweed,0,0,0,0,0
10307711,39743,Hard Coral,62.5,65,37.5,30,48.75
10307711,54101,Fleshy Seaweed,17.5,7.5,15,20,15
10307712,39742,Hard Coral,65,57.5,62.5,60,61.25
10307712,54102,Fleshy Seaweed,10,12.5,10,5,9.375
10307713,39745,Hard Coral,22.5,30,30,35,29.375
10307713,54103,Fleshy Seaweed,2.5,0,0,0,0.625
10307714,39744,Hard Coral,32.5,47.5,47.5,32.5,40
10307714,54104,Fleshy Seaweed,0,0,0,0,0
10307715,39746,Hard Coral,17.5,45,30,50,35.625
10307715,54105,Nutrient Indicator Algae,0,0,0,2.5,0.625
10307716,39748,Hard Coral,30,32.5,12.5,40,28.75
10307716,54107,Nutrient Indicator Algae,2.5,10,10,0,5.625
10307717,39747,Hard Coral,52.5,57.5,42.5,47.5,50
10307717,54106,Nutrient Indicator Algae,0,0,0,0,0
10307718,39751,Hard Coral,45,32.5,52.5,60,47.5
10307718,54110,Nutrient Indicator Algae,0,0,0,0,0
10307719,39750,Hard Coral,17.5,27.5,42.5,47.5,33.75
10307719,54109,Nutrient Indicator Algae,0,0,5,2.5,1.875
10307720,39749,Hard Coral,55,40,42.5,22.5,40
10307720,54108,Nutrient Indicator Algae,0,0,0,0,0
10307721,39752,Hard Coral,60,27.5,35,25,36.875
10307721,54111,Nutrient Indicator Algae,0,0,0,0,0
10307722,39754,Hard Coral,47.5,62.5,70,47.5,56.875
10307722,54112,Nutrient Indicator Algae,5,0,5,5,3.75
10307723,39757,Hard Coral,55,55,57.5,30,49.375
10307723,54116,Nutrient Indicator Algae,2.5,5,5,7.5,5
10307724,39753,Hard Coral,40,52.5,70,40,50.625
10307724,54113,Nutrient Indicator Algae,0,0,0,0,0
10307725,39756,Hard Coral,45,57.5,55,52.5,52.5
10307725,54115,Nutrient Indicator Algae,2.5,0,0,0,0.625
10307726,39755,Hard Coral,40,70,75,50,58.75
10307726,54114,Nutrient Indicator Algae,0,0,0,0,0
10307727,39759,Hard Coral,87.5,57.5,60,37.5,60.625
10307727,54118,Nutrient Indicator Algae,0,0,5,0,1.25
10307728,39760,Hard Coral,55,50,70,67.5,60.625
10307728,54119,Nutrient Indicator Algae,0,0,0,0,0
10307729,39761,Hard Coral,80,45,65,35,56.25
10307729,54120,Nutrient Indicator Algae,0,0,0,2.5,0.625
10307730,39758,Hard Coral,35,42.5,42.5,20,35
10307730,54117,Nutrient Indicator Algae,0,0,0,0,0
10307731,39762,Hard Coral,47.5,52.5,55,17.5,43.125
10307731,54121,Nutrient Indicator Algae,7.5,10,10,5,8.125
10307732,39763,Hard Coral,47.5,40,37.5,47.5,43.125
10307732,54122,Nutrient Indicator Algae,0,0,0,0,0
10307733,39764,Hard Coral,47.5,0,45,35,31.875
10307733,54123,Nutrient Indicator Algae,32.5,47.5,17.5,20,29.375
10307734,39765,Hard Coral,0,0,12.5,15,6.875
10307734,54124,Nutrient Indicator Algae,57.5,50,17.5,20,36.25
10307735,39766,Hard Coral,5,2.5,12.5,10,7.5
10307735,54125,Nutrient Indicator Algae,22.5,60,20,12.5,28.75
10307736,39767,Hard Coral,87.5,67.5,70,80,76.25
10307736,54126,Nutrient Indicator Algae,0,0,0,0,0
10307737,39768,Hard Coral,62.5,62.5,62.5,77.5,66.25
10307737,54128,Nutrient Indicator Algae,0,0,0,2.5,0.625
10307738,39769,Hard Coral,82.5,70,55,85,73.125
10307738,54127,Nutrient Indicator Algae,0,0,0,0,0
10307739,39770,Hard Coral,15,37.5,17.5,20,22.5
10307739,54129,Nutrient Indicator Algae,0,0,10,5,3.75
10307740,39771,Hard Coral,45,52.5,32.5,45,43.75
10307740,54130,Nutrient Indicator Algae,2.5,0,0,2.5,1.25
10307741,39772,Hard Coral,32.5,52.5,17.5,12.5,28.75
10307741,54131,Nutrient Indicator Algae,0,0,0,0,0
10307742,39774,Hard Coral,22.5,37.5,42.5,25,31.875
10307742,54133,Nutrient Indicator Algae,0,0,5,0,1.25
10307743,39775,Hard Coral,17.5,30,10,17.5,18.75
10307743,54134,Nutrient Indicator Algae,0,0,2.5,0,0.625
10307744,39773,Hard Coral,15,35,27.5,15,23.125
10307744,54132,Nutrient Indicator Algae,0,0,0,0,0
10307745,39776,Hard Coral,20,37.5,27.5,20,26.25
10307745,54135,Nutrient Indicator Algae,0,0,0,2.5,0.625
10307746,39777,Hard Coral,25,32.5,22.5,17.5,24.375
